table,usage,confidence,direct_hits,indirect_hits,mention_hits,sample_files,usage_refined,confidence_refined,note
brand_extracted,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
brand_extracted_map,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
brand_extracted_track,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
brand_gv_temp,UNUSED,HIGH,0,0,0,,ARCHIVE_SUFFIX,HIGH,name suffix indicates archive/backup/test
brand_logo,DIRECT,HIGH,2,12,533,ads/serializers.py | ads/views.py | instagram_admin/schemas.py,DIRECT,HIGH,
brand_logo_map,AMBIGUOUS,LOW,0,0,12,express/views/studio_channel_views.py | express/views/ad_slot_views.py | amore/views.py,DIRECT,MED,AMBIGUOUS→DIRECT via 2 DB-context hits
brand_shopping_channel,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
brand_temp,UNUSED,HIGH,0,0,0,,ARCHIVE_SUFFIX,HIGH,name suffix indicates archive/backup/test
bumper_keyword,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
calendar,AMBIGUOUS,LOW,0,0,9,ugwanggiAPI/cron.py | oliveyoung/cron.py | oliveyoung/views.py,DIRECT,MED,AMBIGUOUS→DIRECT via 2 DB-context hits
campaign_request,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
campaigns,DIRECT,HIGH,2,0,60,ads/views.py | express/schemas/brand_campaign_schemas.py | express/views/brand_campaign_request_views.py,DIRECT,HIGH,
campaigns_history,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
camptoinflu,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
clear_channel,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
crooki_email_survey,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
crooki_phone_survey,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
crooki_portfolio,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
crooki_portfolio_category,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
crooki_portfolio_video,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
crooki_user_resume,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
data_mining,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
demography,DIRECT,HIGH,1,0,40,ugwanggiAPI/cron.py | user/urls.py | youtube/models.py,DIRECT,HIGH,
demography_250509,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
demography_check,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
django_admin_log,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
django_content_type,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
django_migrations,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
django_session,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
etl_brand_logo,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
etl_control_table,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
filtered_condition_17854,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
followers,AMBIGUOUS,LOW,0,0,129,oliveyoung/views.py | tiktok/models.py | tiktok/utils.py,DIRECT,MED,AMBIGUOUS→DIRECT via 10 DB-context hits
followers_history,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
foreign_channel_lists,DIRECT,HIGH,1,0,1,admin/models.py,DIRECT,HIGH,
foreign_video_lists,DIRECT,HIGH,1,0,1,admin/models.py,DIRECT,HIGH,
genders,AMBIGUOUS,LOW,0,0,11,creators_insights/filter_pipeline.py | youtube/utils.py,NOT_A_DB_REF,HIGH,generic word; all mentions appear outside DB context
genders_history,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
github_member,DIRECT,HIGH,1,0,1,admin/models.py,DIRECT,HIGH,
github_member_stat,DIRECT,HIGH,1,0,1,admin/models.py,DIRECT,HIGH,
github_repository,DIRECT,HIGH,1,0,1,admin/models.py,DIRECT,HIGH,
github_summary,DIRECT,HIGH,1,0,1,admin/models.py,DIRECT,HIGH,
github_sync_job,DIRECT,HIGH,1,0,1,admin/models.py,DIRECT,HIGH,
hifen_archive,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
hifen_archive_group,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
hifen_bookmark,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
hifen_bookmark_group,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
hifen_bookmark_to_group,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
hifen_campaign,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
hifen_waitinglist,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
hifen_yt_bookmark,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
hifen_yt_campaign_video,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
hifen_yt_campaign_video_result,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
influ_contact,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
influ_form,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
influ_link_tree,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
influ_mcq_answer,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
influ_question,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
influ_subform,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
influ_subform_post,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
influencers,AMBIGUOUS,LOW,0,0,2,ads/system.txt | ads/system-bumper.txt,DIRECT,MED,AMBIGUOUS→DIRECT via 2 DB-context hits
ingwanggi_brand_report_access,DIRECT,HIGH,1,0,1,brand/models.py,DIRECT,HIGH,
ingwanggi_creator_listup_filters,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
ingwanggi_partner_creator_bookmark,DIRECT,HIGH,1,0,1,partner_instagram/models.py,DIRECT,HIGH,
ingwanggi_partner_creator_bookmark_folder,DIRECT,HIGH,1,0,1,partner_instagram/models.py,DIRECT,HIGH,
ingwanggi_related_account_access,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
ingwanggi_similar_creator_access,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
ingwanggi_top_cache,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_accounts,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_brand,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_brand_exclusion_keyword,DIRECT,HIGH,2,0,2,instagram_admin/models.py | instagram_admin/views.py,DIRECT,HIGH,
instagram_brand_matching_map,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_brand_matching_track,DIRECT,HIGH,3,0,3,instagram_admin/views.py,DIRECT,HIGH,
instagram_channel,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_channel_stat,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_collaboration,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_crawling_keyword,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_creator_ranking_llm_usage_log,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_creator_ranking_preset_keywords,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_creator_ranking_presets,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_creator_ranking_presets_admin,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_creator_ranking_presets_admin_v2,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_creator_ranking_ticket_usages,DIRECT,HIGH,1,0,2,instagram/models.py | instagram/schemas.py,DIRECT,HIGH,
instagram_following_network,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_following_scrape_jobs,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_hashtag,DIRECT,HIGH,2,0,3,instagram_admin/schemas.py | instagram_admin/views.py | instagram/models.py,DIRECT,HIGH,
instagram_music,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_oliveyoung_product_batch_metadata,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_oliveyoung_product_match_llm_output,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_oliveyoung_product_post,DIRECT,HIGH,1,0,1,oliveyoung/models.py,DIRECT,HIGH,
instagram_post,DIRECT,HIGH,3,1,17,instagram_admin/schemas.py | instagram_admin/views.py | instagram/models.py,DIRECT,HIGH,
instagram_post_analysis,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_post_analysis_batch_metadata,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_post_analysis_keyword,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_post_analysis_keyword_mapping,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_post_analysis_llm_input,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_post_analysis_llm_log,DIRECT,HIGH,5,0,7,instagram_admin/models.py | instagram_admin/views.py,DIRECT,HIGH,
instagram_post_analysis_llm_output,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_post_description,DIRECT,HIGH,2,0,3,instagram_admin/schemas.py | instagram_admin/views.py | instagram/models.py,DIRECT,HIGH,
instagram_post_description_old,UNUSED,HIGH,0,0,0,,ARCHIVE_SUFFIX,HIGH,name suffix indicates archive/backup/test
instagram_post_old,UNUSED,HIGH,0,0,0,,ARCHIVE_SUFFIX,HIGH,name suffix indicates archive/backup/test
instagram_post_old2,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_post_stat_old,UNUSED,HIGH,0,0,0,,ARCHIVE_SUFFIX,HIGH,name suffix indicates archive/backup/test
instagram_post_stat_trend,DIRECT,HIGH,3,0,4,instagram_admin/schemas.py | instagram_admin/views.py | instagram/models.py,DIRECT,HIGH,
instagram_post_tracking,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_ppl_brand,DIRECT,HIGH,11,0,13,instagram_admin/models.py | instagram_admin/schemas.py | instagram_admin/views.py,DIRECT,HIGH,
instagram_ppl_brand_260212,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_ppl_brand_test,UNUSED,HIGH,0,0,0,,ARCHIVE_SUFFIX,HIGH,name suffix indicates archive/backup/test
instagram_reels_proxy,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_sponsoring_brand,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user,DIRECT,HIGH,2,0,9,instagram_admin/models.py | instagram_admin/schemas.py | instagram_admin/views.py,DIRECT,HIGH,
instagram_user_analysis,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user_analysis_categories,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user_analysis_mood,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user_analysis_proxy,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_user_analysis_status,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_user_analysis_topic,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user_analysis_v2,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user_analysis_v2_layer1_user_type,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user_analysis_v2_layer2_content_function,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user_analysis_v2_layer3_topic,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user_analysis_v2_layer4_mood,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user_analysis_v2_layer5_persona,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user_analysis_v2_layer6_audience,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user_analysis_v2_layer6_target_country,DIRECT,HIGH,1,0,2,instagram/models.py | instagram/views.py,DIRECT,HIGH,
instagram_user_analysis_v2_openai_batch,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_user_benchmark,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user_benchmark_criteria,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_user_benchmark_criteria_trend,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_user_benchmark_follower_group,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_user_benchmark_trend,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_user_brand_safety,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user_external_url,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_user_recrawling_report,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_user_recrawling_tier,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_user_recrawling_tier_stage,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
instagram_user_stat,DIRECT,HIGH,2,0,8,partner_instagram/models.py | partner_instagram/views.py | instagram/models.py,DIRECT,HIGH,
instagram_user_stat_trend,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
instagram_user_tag,DIRECT,HIGH,1,0,1,instagram/models.py,DIRECT,HIGH,
invitation,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
jobposting_application,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
jobposting_application_file,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
jobposting_bookmark,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
keywords,DIRECT,HIGH,3,0,360,ads/models.py | ads/bard-system.txt | ads/system-ad-copies.txt,DIRECT,HIGH,
keywords_history,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
kh_n8n_test,UNUSED,HIGH,0,0,0,,ARCHIVE_SUFFIX,HIGH,name suffix indicates archive/backup/test
lastupdate,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
link_tree_link_block,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
link_tree_video_block,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
monitoring_crawl_video_list,UNUSED,MED,0,0,0,,TRULY_UNUSED,MED,no reference found anywhere in branch
