table,usage_final,subcategory,confidence_final,direct_hits,indirect_hits,mention_hits,sample_files,note,boosted_usage,boost_note
YT_ugwanggi_trending_insight_daily_action,USED,DIRECT,HIGH,1,0,1,trends/models.py,,USED,
YT_ugwanggi_trending_insight_daily_category_and_format,USED,DIRECT,HIGH,1,0,1,trends/models.py,,USED,
YT_ugwanggi_trending_insight_daily_chance,USED,DIRECT,HIGH,1,0,1,trends/models.py,,USED,
YT_ugwanggi_trending_insight_daily_chance_and_risk_title,USED,DIRECT,HIGH,1,0,1,trends/models.py,,USED,
YT_ugwanggi_trending_insight_daily_risk,USED,DIRECT,HIGH,1,0,1,trends/models.py,,USED,
YT_ugwanggi_trending_insight_daily_summary,USED,DIRECT,HIGH,1,0,1,trends/models.py,,USED,
YT_ugwanggi_trending_keyword,USED,DIRECT,HIGH,1,0,1,trends/models.py,,USED,
YT_ugwanggi_trending_keyword_video_ids,USED,DIRECT,HIGH,1,0,1,trends/models.py,,USED,
YT_ugwanggi_trending_sub_keyword,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_ugwanggi_video_trending,USED,DIRECT,HIGH,1,0,3,trends/models.py | trends/utils.py | trends/views.py,,USED,
YT_video_cate,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_category_class,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_category_class_game,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_category_class_game_global,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_category_class_global,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_comments,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_content_class_category_map,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_content_class_temp_video,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_content_class_track,USED,DIRECT,HIGH,1,0,5,youtube/models.py | trends/utils.py | trends/views.py,,USED,
YT_video_crawling_waiting,USED,DIRECT,HIGH,1,0,1,youtube/models.py,,USED,
YT_video_format,USED,DIRECT,HIGH,1,0,1,youtube/models.py,,USED,
YT_video_lists,USED,DIRECT,HIGH,7,0,51,ugwanggiAPI/cron.py | youtube/models.py | youtube/views.py,,USED,
YT_video_lists_cate,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_lists_detail,USED,DIRECT,HIGH,1,0,3,youtube/models.py | trends/utils.py,,USED,
YT_video_lists_global,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_lists_global_ads,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_lists_partitioned,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_members,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_tag,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_trending,USED,DIRECT,HIGH,1,0,1,youtube/models.py,,USED,
YT_video_trending_class,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
YT_video_trending_duration,USED,DIRECT,HIGH,1,0,1,youtube/models.py,,USED,
YT_video_trending_sub,USED,DIRECT,HIGH,1,0,1,youtube/models.py,,USED,
YT_video_trending_test,UNUSED,ARCHIVE_SUFFIX,HIGH,0,0,0,,name suffix indicates archive/backup/test,UNUSED,
YT_video_view_trend,USED,DIRECT,HIGH,1,0,1,youtube/models.py,,USED,
YT_video_view_trend_2022,UNUSED,ARCHIVE_SUFFIX,HIGH,0,0,0,,name suffix indicates archive/backup/test,UNUSED,
ages,UNUSED,NOT_A_DB_REF,HIGH,0,0,11,creators_insights/filter_pipeline.py | youtube/utils.py,generic word; all mentions appear outside DB context,UNUSED,
ages_history,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
appointment,USED,DIRECT,HIGH,1,0,2,admin/models.py | admin/urls.py,,USED,
auth_group,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
auth_group_permissions,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
auth_permission,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
auth_user,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
auth_user_groups,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
auth_user_user_permissions,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
big_topic,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
brand,USED,DIRECT,HIGH,61,0,1099,ads/system-scene-detection.txt | ads/models.py | ads/system.txt,,USED,
brand_banner,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
brand_channel_to_filter,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
brand_extracted,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
brand_extracted_map,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
brand_extracted_track,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
brand_gv_temp,UNUSED,ARCHIVE_SUFFIX,HIGH,0,0,0,,name suffix indicates archive/backup/test,UNUSED,
brand_logo,USED,DIRECT,HIGH,2,12,533,ads/serializers.py | ads/views.py | instagram_admin/schemas.py,,USED,
brand_logo_map,USED,DIRECT,HIGH,0,0,12,express/views/studio_channel_views.py | express/views/ad_slot_views.py | amore/views.py,AMBIGUOUS→DIRECT via 2 DB-context hits,USED,
brand_shopping_channel,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
brand_temp,UNUSED,ARCHIVE_SUFFIX,HIGH,0,0,0,,name suffix indicates archive/backup/test,UNUSED,
bumper_keyword,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
calendar,USED,DIRECT,HIGH,0,0,9,ugwanggiAPI/cron.py | oliveyoung/cron.py | oliveyoung/views.py,AMBIGUOUS→DIRECT via 2 DB-context hits,USED,
campaign_request,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
campaigns,USED,DIRECT,HIGH,2,0,60,ads/views.py | express/schemas/brand_campaign_schemas.py | express/views/brand_campaign_request_views.py,,USED,
campaigns_history,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
camptoinflu,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
clear_channel,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
crooki_email_survey,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
crooki_phone_survey,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
crooki_portfolio,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
crooki_portfolio_category,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
crooki_portfolio_video,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
crooki_user_resume,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
data_mining,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
demography,USED,DIRECT,HIGH,1,0,40,ugwanggiAPI/cron.py | user/urls.py | youtube/models.py,,USED,
demography_250509,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
demography_check,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
django_admin_log,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
django_content_type,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
django_migrations,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
django_session,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
etl_brand_logo,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
etl_control_table,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
filtered_condition_17854,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
followers,USED,DIRECT,HIGH,0,0,129,oliveyoung/views.py | tiktok/models.py | tiktok/utils.py,AMBIGUOUS→DIRECT via 10 DB-context hits,USED,
followers_history,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
foreign_channel_lists,USED,DIRECT,HIGH,1,0,1,admin/models.py,,USED,
foreign_video_lists,USED,DIRECT,HIGH,1,0,1,admin/models.py,,USED,
genders,UNUSED,NOT_A_DB_REF,HIGH,0,0,11,creators_insights/filter_pipeline.py | youtube/utils.py,generic word; all mentions appear outside DB context,UNUSED,
genders_history,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
github_member,USED,DIRECT,HIGH,1,0,1,admin/models.py,,USED,
github_member_stat,USED,DIRECT,HIGH,1,0,1,admin/models.py,,USED,
github_repository,USED,DIRECT,HIGH,1,0,1,admin/models.py,,USED,
github_summary,USED,DIRECT,HIGH,1,0,1,admin/models.py,,USED,
github_sync_job,USED,DIRECT,HIGH,1,0,1,admin/models.py,,USED,
hifen_archive,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
hifen_archive_group,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
hifen_bookmark,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
hifen_bookmark_group,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
hifen_bookmark_to_group,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
hifen_campaign,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
hifen_waitinglist,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
hifen_yt_bookmark,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
hifen_yt_campaign_video,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
hifen_yt_campaign_video_result,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
influ_contact,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
influ_form,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
influ_link_tree,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
influ_mcq_answer,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
influ_question,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
influ_subform,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
influ_subform_post,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
influencers,USED,DIRECT,HIGH,0,0,2,ads/system.txt | ads/system-bumper.txt,AMBIGUOUS→DIRECT via 2 DB-context hits,USED,
ingwanggi_brand_report_access,USED,DIRECT,HIGH,1,0,1,brand/models.py,,USED,
ingwanggi_creator_listup_filters,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
ingwanggi_partner_creator_bookmark,USED,DIRECT,HIGH,1,0,1,partner_instagram/models.py,,USED,
ingwanggi_partner_creator_bookmark_folder,USED,DIRECT,HIGH,1,0,1,partner_instagram/models.py,,USED,
ingwanggi_related_account_access,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
ingwanggi_similar_creator_access,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
ingwanggi_top_cache,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_accounts,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_brand,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_brand_exclusion_keyword,USED,DIRECT,HIGH,2,0,2,instagram_admin/models.py | instagram_admin/views.py,,USED,
instagram_brand_matching_map,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_brand_matching_track,USED,DIRECT,HIGH,3,0,3,instagram_admin/views.py,,USED,
instagram_channel,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_channel_stat,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_collaboration,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_crawling_keyword,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_creator_ranking_llm_usage_log,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_creator_ranking_preset_keywords,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_creator_ranking_presets,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_creator_ranking_presets_admin,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_creator_ranking_presets_admin_v2,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_creator_ranking_ticket_usages,USED,DIRECT,HIGH,1,0,2,instagram/models.py | instagram/schemas.py,,USED,
instagram_following_network,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_following_scrape_jobs,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_hashtag,USED,DIRECT,HIGH,2,0,3,instagram_admin/schemas.py | instagram_admin/views.py | instagram/models.py,,USED,
instagram_music,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_oliveyoung_product_batch_metadata,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_oliveyoung_product_match_llm_output,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_oliveyoung_product_post,USED,DIRECT,HIGH,1,0,1,oliveyoung/models.py,,USED,
instagram_post,USED,DIRECT,HIGH,3,1,17,instagram_admin/schemas.py | instagram_admin/views.py | instagram/models.py,,USED,
instagram_post_analysis,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_post_analysis_batch_metadata,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_post_analysis_keyword,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_post_analysis_keyword_mapping,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_post_analysis_llm_input,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_post_analysis_llm_log,USED,DIRECT,HIGH,5,0,7,instagram_admin/models.py | instagram_admin/views.py,,USED,
instagram_post_analysis_llm_output,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_post_description,USED,DIRECT,HIGH,2,0,3,instagram_admin/schemas.py | instagram_admin/views.py | instagram/models.py,,USED,
instagram_post_description_old,UNUSED,ARCHIVE_SUFFIX,HIGH,0,0,0,,name suffix indicates archive/backup/test,UNUSED,
instagram_post_old,UNUSED,ARCHIVE_SUFFIX,HIGH,0,0,0,,name suffix indicates archive/backup/test,UNUSED,
instagram_post_old2,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_post_stat_old,UNUSED,ARCHIVE_SUFFIX,HIGH,0,0,0,,name suffix indicates archive/backup/test,UNUSED,
instagram_post_stat_trend,USED,DIRECT,HIGH,3,0,4,instagram_admin/schemas.py | instagram_admin/views.py | instagram/models.py,,USED,
instagram_post_tracking,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_ppl_brand,USED,DIRECT,HIGH,11,0,13,instagram_admin/models.py | instagram_admin/schemas.py | instagram_admin/views.py,,USED,
instagram_ppl_brand_260212,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_ppl_brand_test,UNUSED,ARCHIVE_SUFFIX,HIGH,0,0,0,,name suffix indicates archive/backup/test,UNUSED,
instagram_reels_proxy,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_sponsoring_brand,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user,USED,DIRECT,HIGH,2,0,9,instagram_admin/models.py | instagram_admin/schemas.py | instagram_admin/views.py,,USED,
instagram_user_analysis,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user_analysis_categories,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user_analysis_mood,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user_analysis_proxy,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_user_analysis_status,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_user_analysis_topic,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user_analysis_v2,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user_analysis_v2_layer1_user_type,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user_analysis_v2_layer2_content_function,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user_analysis_v2_layer3_topic,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user_analysis_v2_layer4_mood,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user_analysis_v2_layer5_persona,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user_analysis_v2_layer6_audience,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user_analysis_v2_layer6_target_country,USED,DIRECT,HIGH,1,0,2,instagram/models.py | instagram/views.py,,USED,
instagram_user_analysis_v2_openai_batch,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_user_benchmark,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user_benchmark_criteria,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_user_benchmark_criteria_trend,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_user_benchmark_follower_group,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_user_benchmark_trend,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_user_brand_safety,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user_external_url,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_user_recrawling_report,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_user_recrawling_tier,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_user_recrawling_tier_stage,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
instagram_user_stat,USED,DIRECT,HIGH,2,0,8,partner_instagram/models.py | partner_instagram/views.py | instagram/models.py,,USED,
instagram_user_stat_trend,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
instagram_user_tag,USED,DIRECT,HIGH,1,0,1,instagram/models.py,,USED,
invitation,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
jobposting_application,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
jobposting_application_file,UNUSED,TRULY_UNUSED,HIGH,0,0,0,,no reference found anywhere in branch,UNUSED,
